dataset;constraints;DCA+KMeans;Kmeans;MPCKmeans;SS-MMC;ADS-GDA;ADS-LS
pendigit;20;0,318;0,545;0,541;0,666;0,427;0,821
;40;0,328;0,545;0,556;0,743;0,554;0,874
;60;0,553;0,545;0,535;0,831;0,717;0,855
;80;0,677;0,545;0,580;0,833;0,769;0,901
;100;0,721;0,545;0,537;0,861;0,800;0,878
letterIJL;20;0,178;0,266;0,217;0,447;0,140;0,337
;40;0,207;0,266;0,223;0,546;0,194;0,467
;60;0,352;0,266;0,226;0,691;0,300;0,431
;80;0,400;0,266;0,167;0,568;0,417;0,329
;100;0,582;0,266;0,211;0,655;0,517;0,571
vehicle;50;0,083;0,186;0,120;0,207;0,094;0,245
;100;0,233;0,186;0,122;0,277;0,161;0,208
;150;0,331;0,186;0,122;0,365;0,248;0,215
;200;0,418;0,186;0,102;0,411;0,355;0,288
;250;0,459;0,186;0,113;0,458;0,351;0,260
ionosphere;20;0,167;0,135;0,112;0,148;0,075;0,170
;40;0,205;0,135;0,101;0,242;0,181;0,174
;60;0,167;0,135;0,094;0,304;0,293;0,148
;80;0,197;0,135;0,078;0,297;0,332;0,216
;100;0,199;0,135;0,094;0,313;0,419;0,282
